sentence1,sentenceid1,docid1,sentence2,sentenceid2,docid2,sentence3,sentenceid3,docid3,sentence4,sentenceid4,docid4,sentence5,sentenceid5,docid5
"5.1 In certain circumstances Personal Information can be collected , used or disclosed without the knowledge and consent of the Person .",94412,882,"5.2 In addition , Globe may disclose a Person 's Personal Information to : a ) another person for the development , enhancement , marketing or provision of any of the products or services of Globe ; b ) a person who , in the reasonable judgment of the Globe Companies , is seeking the information as an agent of the Person ; c ) any Globe Companies to permit the provision of services requested by the Person , and d ) a Third Party or Third Parties , where the Person consents to such disclosure or disclosure is required by law .",94414,882,"5.3 Globe may disclose Personal Information about its employees : a ) for normal personnel and benefits administration ; b ) in the context of providing references regarding current or former employees in response to requests from prospective employers ; or c ) where disclosure is required by law .",94415,882,"5.5 Globe shall keep Personal Information only as long as it remains necessary or relevant for the identified purposes or as required by law .",94417,882,"Depending on the circumstances , where Personal Information has been used to make a decision about a Person , Globe shall retain , for a period of time that is reasonably sufficient to allow for access by the Person , either the actual information or the rationale for making the decision .",94418,882
"5.6 Globe shall maintain reasonable and systematic controls , schedules and practices for information and records retention and destruction which apply to Personal Information that is no longer necessary or relevant for the identified purposes or required by law to be retained .",94419,882,"Personal Information shall be as accurate , complete and up-to-date as is necessary for the purposes for which it is to be used .",94422,882,"6.1 Personal Information used by Globe shall be sufficiently accurate , complete and up-to-date to minimize the possibility that inappropriate information may be used to make a decision about a Person .",94423,882,"6.2 Globe shall update Personal Information about Persons as and when necessary to fulfill the identified purposes or upon notification by the Person .",94424,882,"Globe shall protect Personal Information by security safeguards appropriate to the sensitivity of the information .",94426,882
"7.1 Globe shall protect Personal Information against such risks as loss or theft , unauthorized access , disclosure , copying , use , modification or destruction , through appropriate security measures .",94427,882,"7.2 Globe shall protect Personal Information disclosed to third parties by contractual agreements stipulating the confidentiality of the information and the purposes for which it is to be used .",94429,882,"8.1 Globe shall make information about its policies and practices easy to understand , including : a ) The title and address of the person or persons accountable for the compliance with the Globe Privacy Code and to whom inquiries or complaints can be forwarded ; b ) The means of gaining access to Personal Information held by Globe ; and c ) A description of the type of Personal Information held by Globe , including a general account of its use .",94433,882,"A Person shall be able to challenge the accuracy and completeness of the Personal Information and have it amended as appropriate .",94437,882,"9.2 In certain situations , Globe may not be able to provide access to all of the Personal Information that they hold about a Person .",94440,882
"For example , Globe may not provide access to information if doing so would likely reveal Personal Information about a Third Party or could reasonably be expected to threaten the life or security of another person .",94441,882,"Also , Globe may not provide access to information if disclosure would reveal confidential commercial information , if the information is protected by solicitor-client privilege , if the information was generated in the course of a formal dispute resolution process , or if the information was collected in relation to the investigation of a breach of an agreement or a contravention of a federal or provincial law , or if the information was collected as part of journalistic , literary or artistic activities .",94442,882,"If access to Personal Information can not be provided , Globe shall provide the reasons for denying access upon request .",94443,882,"9.3 Upon request , Globe shall provide an account of the use and disclosure of Personal Information and , where reasonably possible , shall state the source of the information .",94444,882,"In providing an account of disclosure , Globe shall provide a list of organizations to which it may have disclosed Personal Information about the individual when it is not possible to provide an actual list .",94445,882
"9.4 In order to safeguard Personal Information , an individual or employee may be required to provide sufficient identification information to permit Globe to account for the existence , use and disclosure of Personal Information and to authorize access to the individual 's file .",94446,882,"Where appropriate , Globe shall transmit to third parties having access to the Personal Information in question any amended information or the existence of any unresolved differences .",94450,882,"9.6 A Person can obtain information or seek access to his or her Personal Information by contacting a designated representative at Globe principal office .",94451,882,"9.7 An employee can obtain information or seek access to his or her Personal Information by contacting his or her immediate supervisor within Globe .",94452,882,"If any Person at any time has any questions or concerns about Globe 's privacy practices , the Person can either :",94456,882
"10.3 The person or persons accountable for compliance with the Globe Privacy Code may seek external advice where appropriate before providing a final response to individual complaints .",94460,882,"If a complaint is found to be justified , Globe shall take appropriate measures to resolve the complaint including , if necessary , amending its policies and procedures .",94462,882,"The Register may collect , process and use your personal data ( including your name , postal address , email address , telephone , mobile and fax numbers ) .",94818,887,"The Register may employ trusted third party specialists to process and use your data on our behalf in order to deliver the products and services to you in a more efficient manner .",94821,887,"The Register site sets cookies in order to help with the management of its advertising and to enable certain user features .",94826,887
"These ad servers may attempt to set cookies on your computer .",94831,887,"They do not use information gathered through their cookies for their own use , and they do not collect any personally identifiable information .",94833,887,"The respective privacy policies of these ad servers can be found here :",94834,887,"Readers who choose to subscribe to our headlines-by-email service , or complete any of our online forms , may be asked to supply personal data .",94838,887,"If they choose to do so , that information is recorded and used for broad demographic information , which may be used to target advertising .",94839,887
"If permission is granted , this information may be used to target specific users with occasional emails informing them about commercial services provided by The Register .",94840,887,"If permission is granted , this information may be used to send occasional emails containing offers from our partners .",94841,887,"Register journalists may use your email address to reply to comments that you have posted on our website .",94846,887,"Readers who enter The Register competitions will be asked for some personal information , but only to allow us to judge the validity of their applications and to contact them should they be declared a competition winner .",94847,887,"If permission is granted , this information may be used to target specific users with commercial services provided by The Register .",94848,887
"If permission is granted , this information may be used to send occasional emails from The Register containing offers from our partners .",94849,887,"Anyone who provides The Register with personal information is given the opportunity to manage how that information is used .",94859,887,"You can do that by visiting this address or by contacting The data controller ( Caroline Wilson ) .",94861,887,"Readers of The Register have certain rights under the UK 's Data Protection Acts .",94862,887,"You can , for instance , ask to be told what information we hold about you in our databases .",94863,887
"If you would like to request this information please use the contact details below .",94866,887,"As statutory and online requirements change so this policy document may change .",94868,887,"Personal information means information that can identify you , such as your name , address , telephone number , e-mail address , and billing information ( such as your credit card number and expiration date ) .",96494,904,"We encourage you to review this Privacy Policy , and become familiar with it , but you should know that we do not sell or rent our customers ' personal information to third parties .",96495,904,"Please note that we review our Privacy Policy from time to time , and we make changes to the policy in connection with that review .",96496,904
"Therefore , you may wish to periodically review this page to make sure that you have the current version .",96497,904,"Click here to read about how we may supplement or change this Privacy Policy .",96498,904,"How you can opt-out of receiving our promotional e-mails",96505,904,"How you can update or correct your personal information",96506,904,"In order to book travel using the Travelocity Service , you must provide us with certain personal information such as your name , your credit or debit card number and expiration date , your credit or debit card billing address , your telephone number , your e-mail address and the name or names of any person ( s ) traveling with you .",96514,904
"You may also provide us with other information , such as your frequent traveler numbers , requests for special services or meal requests .",96516,904,"We require this information so that we can process , fulfill and confirm your reservations and transactions and keep you informed of their status .",96517,904,"If you are making a reservation for one or more other travelers , you will need to make sure that each of these other travelers agrees , in advance , that you may disclose their personal information to us .",96518,904,"For your convenience , we make certain information about your reservation available to you or other persons authorized by you to receive such information .",96519,904,"For example , if you forget your flight number , you or another person authorized by you may retrieve that information from us after confirming your or their identity .",96520,904
"We may use that telephone number or email address in the event that we need to inform you of changes or other matters that may affect your booking or trip , such as changes due to flight delays , inclement weather , and cancellations .",96523,904,"We may use an automatic telephone dialing system , or artificial or prerecorded voice messages to provide you with such updates .",96524,904,"When you provide us with a mobile telephone number as the contact number for a trip , you agree that you are providing us with your express consent to receive prerecorded voice messages from Travelocity or our third party suppliers and content providers ( `` Third Party Suppliers '' ) related to your booking .",96525,904,"We may collect this information for several reasons including : ( i ) personal identification ; ( ii ) to complete air , hotel , car , and other reservations ; ( iii ) to allow us to contact you for customer service purposes , if necessary ; ( iv ) to customize the content of the Travelocity Service to meet your specific needs ; and ( v ) to make product improvements to the Travelocity Service .",96528,904,"As a Travelocity member , you can choose to complete your online profile by providing us with travel preferences , frequent-traveler or affinity numbers , payment card billing information , paper ticket delivery address , special requests , meal requests , profiles of your travel companions ( such as your family members who travel with you ) , and other information , which may include personal information .",96530,904
"This information is primarily used to assist you in making reservations quickly without having to type in the same information again .",96531,904,"For example , you can store your airline frequent-flyer numbers and those of your travel companions so that when your make a reservation on that airline using the Travelocity Service , we can automatically complete the frequent-flyer number input boxes for you .",96532,904,"Under the Transportation Security Administration ( TSA ) Secure Flight program , most air passengers are now required to provide their full name , date of birth , and gender ( plus redress number , when applicable ) .",96533,904,"Providing this information is voluntary ; however , if it is not provided , you may be subject to additional screening or denied transport or authorization to enter a sterile area .",96537,904,"TSA may share information you provide with law enforcement or intelligence agencies or others under its published system of records notice .",96538,904
"Travelocity 's `` Roaming Gnome Recommends '' and other newsletters and our FareWatcher Plus service are optional communications you may choose to subscribe to that keep you up to date with the latest special travel deals and low airfares .",96540,904,"Your e-mail address and preferred round trip city pairs are necessary to receive FareWatcher Plus e-mails .",96543,904,"Travelocity values opinions and comments from members , so we may from time to time conduct online surveys .",96544,904,"Typically , we aggregate the information we collect and use it to make improvements to the Travelocity Service and to develop appealing content , features and promotions for customers .",96546,904,"Travelocity may sponsor promotions and sweepstakes to give customers the opportunity to win great travel and travel-related prizes .",96548,904
"The information we may collect for such activities can include historical bookings made , historical shopping behavior , contact information and survey questions .",96549,904,"We may use the contact information we receive to notify contest winners and we use survey information to develop promotions and product improvements to the Travelocity Service .",96550,904,"Third Parties Offering Promotions , Products , or Services",96551,904,"Travelocity may share your personal information with third parties when you engage in certain activities on our site that are sponsored by third parties , such as electing to receive information or communications from a third party ( such as a hotel company or a tourism board for a particular destination ) , or electing to participate in contests , sweepstakes , games or other programs sponsored in whole or in part by a third party .",96552,904,"Travelocity may also share your personal information when you respond to promotional materials from Travelocity and authorize a third party to use your personal information for purposes such as sending you additional promotional materials , providing you a product or service , or entering you in a contest , sweepstakes or game .",96553,904
"When you participate in Sponsored Activities , you will either be required or requested to agree that Travelocity may send your personal information ( such as , in some cases , your mailing address or e-mail address ) to the sponsor , and the sponsor may use your personal information in accordance with the sponsor 's privacy practices .",96555,904,"You should know that when Travelocity shares your personal information with a third party under any circumstance described in this section , your personal information will become permanently subject to the privacy policy of the third party , and the third party will not be restricted by Travelocity 's Privacy Policy with respect to its use and further sharing of your personal information .",96557,904,"We collect session data because it helps us analyze such things as what items visitors are likely to click on most , the way visitors are clicking through the site , how many visitors are surfing to various pages on the site , how long visitors to the site are staying and how often they are visiting .",96562,904,"It is possible to determine from an IP address a visitor 's Internet Service Provider ( ISP ) and the approximate geographic location of his or her point of connectivity .",96564,904,"We may also use some session data , such as the pages you visited on our site , to send you e-mail messages ( such as `` Good Day to Buy '' ) focused on destinations that you may be interested in , unless you had previously opted out of receiving such messages .",96565,904
"You can contribute to the Travelocity Service in a number of different ways , including by providing journals , recommendations , reviews , opinions , news articles , directories , guides , text , photographs , illustrations , graphics , logos , audio clips , images , information , data , photographs , software , messages , ideas , comments , questions , or other materials for public display on the Travelocity Service ( your `` Submitted Content '' ) .",96567,904,"Note that if you include personally identifiable information in your Submitted Content , it can be used and viewed by others .",96568,904,"We may allow you to access third party services , such as Facebook and Twitter , that enable you to share your selected Submitted Content with those services , to import information about who you are connected with on those other services so you can connect with them using the Travelocity Service and to perform certain other tasks .",96570,904,"Where we provide such functionality , such as on IgoUgo.com , you can always opt out on your IgoUgo account page .",96571,904,"Some of those third party services may also provide us with information from your accounts there to enhance and personalize your use of the Travelocity Service .",96572,904
"For example , you can allow Facebook to tell us who your Facebook friends are so you can follow their activity on the Travelocity Service ( including on IgoUgo.com ) .",96573,904,"You can , at any time , adjust your IgoUgo settings to remove this feature , by changing your Facebook preferences on the site .",96574,904,"You can also further modify your privacy settings with those other services directly .",96575,904,"For example , you can adjust your privacy settings on Facebook to prevent your Facebook friends from sharing information with us about you from their Facebook accounts .",96576,904,"In addition , if you link your Travelocity account to your social media account , or use certain other Travelocity social media features , we may access information about you via that social media provider in accordance with the provider 's policies .",96577,904
"The information may include your name , email address , profile picture , gender , list of friends , and other information that you authorize us to receive .",96578,904,"Depending on the privacy settings of you and your friends , we may access information that you provide to a social media provider regarding your respective locations ( `` Location Data '' ) to provide you with relevant content .",96579,904,"Please note that your Location Data may also be shared with your friends on a social media provider in accordance with your privacy settings for that social media provider .",96580,904,"We may also use such cookies to display customized content and advertising to you while you are using the Travelocity Service or to send you a `` Good Day to Buy '' email ( or similar emails -- assuming you have not opted-out ) focusing on destinations that we think you might be interested in .",96586,904,"Most web browsers automatically accept cookies .",96588,904
"By changing the options on your web browser or using certain software programs , you can control how and whether cookies will be accepted by your browser .",96589,904,"However , blocking Travelocity cookies may disable certain features on our site and may make it impossible to purchase or use certain services available on the site .",96590,904,"Please note that it is possible to block cookie activity from certain web sites while permitting cookies from sites you trust , like Travelocity .",96591,904,"Local Shared Objects are similar to browser cookies , but can store data more complex than simple text .",96594,904,"By themselves , they can not do anything to or with the data on your computer .",96595,904
"We may also use Web beacons ( also known as clear gifs , pixel tags or Web bugs ) , which are tiny graphics with a unique identifier , similar in function to cookies , that are placed in the code of a Web page .",96596,904,"We also may allow our service providers to use Web beacons to help us understand which emails have been opened by recipients and to track the visitor traffic and actions on our site .",96598,904,"To do this , we may , through cookies and other technologies , collect information about your travel-related searches , such as whether you are looking for flights or hotel rooms .",96602,904,"So , for example , if you search for a hotel room in Hawaii using the Travelocity Service , you may see an advertisement for a Hawaii travel package on our sites or on another website you visit .",96604,904,"You can choose not to receive customized online advertising on other websites , that is based on your travel-related searches on this website , through the Network Advertising Initiative or the Digital Advertising Alliance .",96605,904
"The advertisements you see on the Travelocity Service are served by us or by our service providers .",96607,904,"But we also allow third parties may collect information about your online activities through cookies and other technologies .",96608,904,"We do not permit these third parties to collect personal information about you via the advertisements they serve on the Travelocity Service .",96609,904,"These third parties include ( 1 ) business partners , who collect information when you view or interact with one of their advertisements on our sites and ( 2 ) advertising networks ( and their partners ) , which collect information about your interests when you view or interact with one of the advertisements they place on many different websites on the Internet .",96610,904,"The information gathered by these third parties is used to make predictions about you , your interests or preferences and to display advertisements the Travelocity Service and across the Internet tailored to your apparent interests .",96611,904
"Please note that we do not have access to or control over cookies and other technologies these third parties may use to collect information about your interests , and the information practices of these third parties are not covered by this Privacy Policy .",96612,904,"Some of these companies are members of the Network Advertising Initiative or the Digital Advertising Alliance , through which you may opt out of ad targeting from their member companies .",96613,904,"These topics of interest are then shared with third parties , including advertisers and ad networks , so they can tailor advertisements to your apparent interests .",96617,904,"If you use our location-enabled products and services , such as our mobile applications , you may be sending us Location Data .",96621,904,"This information may reveal your actual location , such as GPS data , or it may not , such as when you submit an address to look at hotel choices in that location .",96622,904
"From time to time we may add or enhance services available using the Travelocity Service .",96625,904,"We may also store such information to assist us in making the Travelocity Service better and easier to use .",96628,904,"When you book travel using the Travelocity Service , we provide to the airline , hotel , car-rental company , cruise line or other involved Third Party Supplier that portion of your personal information that is needed for the successful fulfillment and servicing of your travel arrangements .",96630,904,"We encourage you to read the privacy statements of all such Third Party Suppliers as their policies may be materially different from this Privacy Policy .",96631,904,"We use third parties to provide a portion of the services and technology that make up the Travelocity Service .",96632,904
"Travelocity provides these third parties with access to personal information specifically for use in connection with providing such services and/or technology .",96633,904,"Occasionally , we use third parties to act on our behalf for projects such as market-research surveys and contest-entry processing , or will contract with third parties to provide co-branded products , such as a Travelocity credit card .",96634,904,"We may provide personal information to such third parties in connection with providing such services and products to us or on our behalf .",96635,904,"The information we provide to third parties who provide us with services , act on our behalf , or provide co-branded products is protected by confidentiality agreements and is to be used solely for the purpose ( s ) permitted by such agreements .",96636,904,"We may also share personal information among our corporate affiliates at Sabre .",96637,904
"We may provide anonymous statistical information based on this data to suppliers , advertisers , affiliates and other current and potential business partners .",96639,904,"We may also use such aggregate data to inform these third parties as to the number of people who have seen and clicked on links to their web sites .",96640,904,"We may also provide non-personal information in aggregate form to third parties who provide a portion of the services and/or technology that make up the Travelocity Service so they can optimize , maintain , support and improve the Travelocity Service .",96641,904,"We may also disclose personal information if required to do so by law , court order , as requested by other government or law enforcement authority , or in the good faith belief that disclosure is otherwise necessary or advisable including , without limitation , to protect the rights or properties of Travelocity or its affiliated companies or when we have reason to believe that disclosing the information is necessary to identify , contact or bring legal action against someone who may be causing interference with our rights or properties , whether intentionally or otherwise , or when anyone else could be harmed by such activities .",96642,904,"Finally , we may share your information in connection with a corporate transaction , such as a divestiture , merger , consolidation , or asset sale , or in the unlikely event of bankruptcy .",96643,904
"How can I opt-out of receiving your promotional emails",96644,904,"Of course , if you would rather not receive a particular communication , please click on the `` opt-out '' link in our e-mail , or follow the instructions in each e-mail message .",96647,904,"You can unsubscribe from our FareWatcher Plus service by editing your preferences in the FareWatcher Plus box of your `` My Account '' page .",96648,904,"You may also unsubscribe from all Travelocity promotional communications , `` Roaming Gnome Recommends '' , and FareWatcher Plus by clicking on the `` unsubscribe '' link in our e-mail .",96649,904,"From time to time , we may use your personal information to send important notices , such as notifications about your trip or your account .",96650,904
"Because this information is important to your interaction with Travelocity , you may not opt-out of receiving these communications .",96651,904,"If using a mobile device , you may be able to configure the settings on the device not to provide location-specific information .",96652,904,"However , if your device is configured to provide location-specific information , it is not possible at this time for you to opt-out of our gathering of such information via your mobile device .",96653,904,"How can I update or correct my personal information",96654,904,"At any time , you can view and/or update your service preferences for our `` Roaming Gnome Recommends '' , promotional e-mails , or FareWatcher Plus services .",96655,904
"You can also update your personal profile , which includes member registration and travel preferences information , through `` My Account '' - accessible via `` My Account '' on the Travelocity home page .",96656,904,"You may request that account information be deleted or deactivated for marketing purposes by e-mailing us via this link . and referencing the Privacy Policy-Deactivate Account in the subject line .",96657,904,"Because of the way we maintain certain files , after you update your information or request that your account be deactivated for marketing purposes , residual copies of your information may remain in our active servers for a period of time and may remain in our backup systems .",96658,904,"We may decline to process requests that are unreasonably repetitive , require disproportionate technical effort , jeopardize the privacy of others , or would be extremely impractical .",96659,904,"Information may also be retained as required by law or for legitimate business purposes .",96660,904
"While no website can promise complete security , we have implemented administrative , technical , and physical security procedures designed to protect the personal information you provide to us .",96662,904,"For example , only authorized employees are permitted to access personal information , and they may only do so for permitted business functions .",96663,904,"If you are visiting our website from outside the United States , please be aware that your information may be transferred to , stored , and processed in the United States , where our servers are located and our central database is operated .",96666,904,"The data protection and other laws of the United States and other countries might not be as comprehensive as those in your country , but please be assured that we take steps to ensure that your privacy is protected .",96667,904,"By using our services , you understand that your information may be transferred to our facilities and those third parties with whom we share it as described in this Privacy Policy .",96668,904
"When using the Travelocity Service , you will see links to third party web sites , applications and services .",96670,904,"Except as set forth herein , we do not share your personal information with those third parties , and are not responsible for their privacy practices .",96672,904,"We encourage you to read the privacy statements of all such sites as their policies may be materially different from this Privacy Policy .",96673,904,"We may change or supplement this Privacy Policy from time to time .",96677,904,"If any proposed change is unacceptable to you , you may request that we remove your personal information from our records by e-mailing us via this link .",96679,904
"Also , please review the information above under the heading `` How can I update or correct my personal information ? '' Of course , you may always submit concerns regarding our Privacy Policy or our privacy practices via email by clicking on the same link .",96680,904,"You can also write to us at : Travelocity , 3150 Sabre Drive , Southlake , Texas 76092 Attn : Privacy Team .",96682,904,"We will limit the collection and use of personal information to what is necessary to administer our business , provide you with the highest quality service and offer you opportunities which will be of interest to you .",97097,908,"This Web site may contain links to other sites , and we make every effort to link only to sites that share our high standards and respect for privacy .",97098,908,"By using this web site , you agree to the collection and use of the information available on or through this site ( including your personally identifying information by Turkish Airlines , its affiliates , partners , contractors , agents and companies established any where in the world including USA with which turkish Airlines makes cooperation in terms of security and verification of accuracy of process and information given by user .",97101,908
"It is necessary for you to supply us with personally identifiable information relating to you which may include but not limited to your name , identification card number , address , credit/debit card number ( s ) , including billing address , expiration dates , passport number , nationality ( the Data ) from time to time in connection with using our value-added service including , but not limited to , placing an order for our product and service .",97102,908,"Failure to supply the Data may result in us being unable to provide the required services .",97103,908,"The purposes for which Data may be used are as follows :",97104,908,"All Data held by us will be kept confidential but we may release the Data to a third party when such release is reasonably necessary to satisfy the purpose or a directly related purpose for which the Data was collected and to :",97110,908,"Most of our forms , where you send the Data to us with , are protected by SSL ( Secure Socet Layet ) technology , an encrypted communication channel , during the transmission .",97114,908
"Under our normal practice , the Data you entered will be retained by us only as long as it is necessary for the needs of our business process or legal requirements .",97117,908,"Because we are constantly improving our sites there may be developments in how we use your data - all such developments will be promptly notified to you in this policy .",97119,908,"Others may have access to your booking details in case you fail to keep your booking reference confidential .",97124,908,"If you are traveling with others and would not like your individual booking details accessed by them , you may prefer to make a separate booking for yourself .",97125,908,"Turkish Airlines can not be held liable in any way for access of the others to your booking reference .",97126,908
"Ubergizmo may collect information from our users at several different points on our Web site , including IP addresses present on our server log files ( see below ) .",97131,909,"This information will be used in aggregate form only in order to assess general user interest in various internal and third party products and services , and your personal and contact information will not be passed to any other organization than the third party service that hosts the newsletter service .",97133,909,"Some of our business partners may use cookies on our site ( for example , advertisers ) .",97134,909,"Like most standard Web site servers we use log files .",97140,909,"This includes internet protocol ( IP ) addresses , browser type , internet service provider ( ISP ) , referring/exit pages , platform type , date/time stamp , and number of clicks to analyze trends , administer the site , track user 's movement in the aggregate , and gather broad demographic information for aggregate use .",97141,909
"IP addresses , etc . are not linked to personally identifiable information .",97142,909,"We may use a tracking utility that uses log files to analyze user movement .",97143,909,"Though we make every effort to preserve user privacy , Ubergizmo may need to disclose personal information when required by law wherein we have a good-faith belief that such action is necessary to comply with a current judicial proceeding , a court order or legal process served on our Web site .",97144,909,"In the event Ubergizmo goes through a business transition , such as a merger , acquisition by another company , or sale of a portion of its assets , users ' personal information will , in most instances , be part of the assets transferred .",97145,909,"We encourage our users to be aware when they leave our site and to read the privacy statements of each and every Web site that collects personally identifiable information .",97148,909
"We use many third-party advertising companies to serve ads when you visit our Web site .",97150,909,"These companies may use information ( not including your name , address , email address or telephone number ) about your visits to this and other Web sites in order to provide advertisements on this site and other sites about goods and services that may be of interest to you .",97151,909,"In the course of serving advertisements to this site , our third-party advertiser may place or recognize a unique cookie on your browser .",97152,909,"Whenever Ubergizmo changes our privacy policy , we will post those changes to this privacy statement , and other places we deem appropriate so our users are always aware of what information we collect , how we use it , and under what circumstances , if any , we disclose it .",97153,909,"While most sites are publicly accessible , certain services and information offered on-line may be restricted to specific users or segments of the UCLA population .",97351,911
"UCLA works in a distributed information technology environment ; therefore , policies and procedures for other web sites may vary .",97360,911,"In May 1995 came the full-featured `` InfoUCLA . ''",97366,911,"( Udemy , we or us ) collect , use and share personally identifiable information of visitors of our web site ( the Site ) and users of our products and services ( the Services ) .",97519,913,"For the purpose of this Privacy Policy , information that you provide through the Site can be in one of two categories : information relating to your use of the Site or the Services , including , without limitation , enrollment information for Courses , is referred to as Site Information , while information relating to taking the Courses , including , without limitation , interchanges with the Course instructors ( Instructors ) , other students ( Users ) , answers , essays and other items submitted to satisfy Course requirements , is referred to as Course Information .",97521,913,"When this Privacy Policy uses the generic term information it is intended to address the general use of information , and not your specific Site Information or Course Information .",97522,913
"By using the Site , Services , or Courses you consent to the collection , use and disclosure of your personally identifiable Site Information and Course Information , as applicable , in accordance with this Privacy Policy .",97523,913,"Personally Identifiable Information We Collect and How We Use It",97524,913,"You can generally visit the Site without revealing any personally identifiable information about yourself .",97525,913,"If you request to receive company or product information , or request information about specific Services , or provide comments about Services , you will be asked to provide contact information so that we can complete your request .",97527,913,"We may also use this Site Information to send you additional information about our Services or Courses on the Site that you may be interested in .",97529,913
"Some of the Services require that you become a registered user and create a user account .",97530,913,"This will require that you provide certain personally identifiable information , that may include ( but not be limited to ) your ( and if you are enrolling as part of our Udemy for Organizations program ) your company 's name , e-mail address , as well as telephone and address information .",97531,913,"You allow us to use this personally identifiable Site Information to register you to use the Services , enroll in Courses , and otherwise provide you with the Services ; verify your authority to enter the Site and access the Courses and Services ; notify you of updates ; improve the content and general administration of the Site and the Services ; provide you with notices regarding the Services and other services that you have purchased or may wish to purchase in the future .",97532,913,"You also consent to our providing this personally identifiable information to Instructors as part of the Course Information when you enroll in a Course .",97533,913,"Instructors may have other users for Course Information .",97535,913
"It is your responsibility when you enroll in a Course to confirm what uses the Instructor will make of your personally identifiable Course Information .",97536,913,"Udemy may also automatically collect and analyze Site Information about your general usage of the Site , Services and Courses .",97539,913,"We might track your usage patterns to see what features of the Site , Services and Courses you commonly use , Site traffic volume , frequency of visits , type and time of transactions , type of browser , browser language , IP address and operating system , and statistical information about how you use the Services and Courses .",97540,913,"This aggregate data may be used to assist us in operating the Site and the Services and provided to other third parties to enable them to better understand the operation of the Services , and improve their Course offerings , but such information will be in aggregate form only and it will not contain personally identifiable data .",97542,913,"Instructors may collect non-personally identifiable Course Information in connection with your participation in Courses .",97543,913
"This Course Information may include , but not be limited to , your interaction with the Instructor and other Users , comments you leave on Course forums , answers or essays you submit to satisfy Course requirements , and so forth .",97544,913,"This Site is not intended for children under the age of 13 and we endeavor not to collect any personally identifiable information from children under the age of 13 .",97547,913,"We will share your personally identifiable Site Information with third parties only in the ways that are described in this privacy policy .",97549,913,"These include , but are not limited to , sharing Site Information with service providers to allow them to fulfill your requests , to Instructors ( in which case this will become Course Information ) , and to your employer if you are enrolled through the Udemy for Organizations program as an employee .",97550,913,"We do not sell your personal information to third parties .",97551,913
"Please refer to the sections above on personally identifiable and other Course Information for how Course Information may be used .",97552,913,"We may also disclose your personally identifiable information : ( a ) if we are required to do so by law , regulation or other government authority or otherwise in cooperation with an investigation of a governmental authority , ( b ) to enforce these Terms of Use , or ( c ) to protect the safety of Users of our Site and our Services and Courses .",97553,913,"In addition , we may transfer your personally identifiable information to a successor entity upon a merger , consolidation or other corporate reorganization .",97554,913,"We retain Site Information and the personal data we process on behalf of Users for as long as needed to provide the Services .",97555,913,"We will retain and use this personal Site Information as necessary to comply with our legal obligations , resolve disputes , and enforce our agreements with Users , and/or the period required by laws in applicable jurisdictions .",97556,913
"Please see the sections above for how Course Information may be used .",97557,913,"If you believe that Udemy has incorrect Site Information or Course Information that was provided as part of the Services , you may use the Services to correct , amend , or delete that information .",97559,913,"We can only alter Course Information that was initially provided to us ; you need to contact the Instructor for other purposes .",97560,913,"Alternatively , you may send a letter with your requested changes , corrections or deletions to the following address :",97561,913,"From time to time , we may send you emails about Course or new or modified Services that we believe might interest you .",97566,913
"If you wish to opt-out of receiving these materials , you may follow the unsubscribe procedure provided in the email .",97567,913,"Udemy employs procedural and technological measures to protect your personally identifiable information .",97569,913,"These measures are reasonably designed to help protect your personally identifiable information from loss , unauthorized access , disclosure , alteration or destruction .",97570,913,"We may use software , secure socket layer technology ( SSL ) encryption , password protection , firewalls , internal restrictions and other security measures to help prevent unauthorized access to your personally identifiable information .",97571,913,"However , Udemy can not guarantee that unauthorized third parties will never be able to defeat these measures or use your personally identifiable information for improper purposes .",97572,913
